borough,age,gpa,days_missed,major,full_time,freshman,first_generation,employed,pell_grant,grade
Brooklyn,21.059504482646734,2.892852617859447,3.3375076425288563,Computer Information Systems,1,0,0,1,0,P
Brooklyn,22.152694236776767,2.4701699292880672,4.9249335679766135,Computer Science,1,1,1,1,0,P
Brooklyn,18.916889681187097,2.7433428233793022,0.38307575952617157,Computer Information Systems,1,1,0,1,1,P
Queens,25.636559704085577,3.376609890361174,6.973986627996414,Computer Information Systems,0,1,0,1,1,P
Outside NYC,20.81484930456755,3.3124154410365447,9.671223174090866,Computer Information Systems,1,1,0,1,0,P
Outside NYC,17.590202868221755,2.583476165728353,4.830473150598857,Computer Information Systems,1,0,0,1,1,P
Brooklyn,29.81257377251331,2.245894335070945,3.0644621197428292,Computer Information Systems,1,1,1,1,1,P
Queens,18.487701315053915,2.3106508513234947,-0.7106381890355973,Computer Information Systems,1,1,0,1,0,P
Brooklyn,25.00820823701762,3.3467059840072153,5.637864480174811,Computer Science,0,1,1,1,1,P
Outside NYC,27.783770978402778,2.5806825105725513,14.050754025728414,Computer Information Systems,1,1,1,1,1,P
Outside NYC,24.2460991518788,2.8320864533258625,1.4904222339938942,Computer Science,1,0,1,0,1,P
Outside NYC,25.504543010946225,3.0116096291530363,9.256850341692644,Computer Science,0,0,1,1,0,P
Manhattan,24.92929278770856,2.5272281776966885,5.511561889114601,Computer Information Systems,1,1,1,0,1,P
Brooklyn,26.558969700414792,2.735422551629389,10.20551019836122,Computer Information Systems,1,0,0,1,0,P
Outside NYC,23.51577453916202,2.702470886913937,6.300571905415384,Computer Information Systems,0,0,0,1,0,P
Outside NYC,20.52490246303263,2.8107115742851705,4.571331890107014,Computer Science,0,0,1,0,1,P
Manhattan,19.62104670882047,2.3883488755112166,10.698836466916111,Computer Information Systems,1,0,1,1,1,P
Outside NYC,30.29390302033805,2.5352814431916646,7.0276624744273875,Computer Science,0,1,1,1,1,P
Manhattan,21.938507609051197,2.989771214091311,7.782012795466363,Computer Information Systems,0,1,1,1,0,P
Manhattan,22.796759577306595,1.84579410677595,6.540586221968927,Computer Science,1,1,1,0,1,P
Outside NYC,18.09805681703338,1.8951532227084391,6.120961490025009,Computer Information Systems,1,0,1,1,1,P
Brooklyn,23.09808119418839,2.8603202367495633,6.887141169310206,Computer Information Systems,1,0,1,1,0,P
Brooklyn,17.476419316552388,3.1771640745009213,1.6379104233282185,Computer Information Systems,1,1,1,0,1,P
Outside NYC,26.830087452892236,3.6011344421930733,7.941354787187108,Computer Information Systems,1,1,0,0,1,P
Outside NYC,30.693772133358358,2.826791660222766,4.9146764788277695,Computer Information Systems,0,1,0,1,0,P
Outside NYC,23.006078715774883,2.8054675722487032,11.551170149334265,Computer Information Systems,0,1,0,1,0,P
Bronx,19.51163381357676,3.4742184744176097,3.0226047938632004,Computer Science,1,1,0,0,1,P
Outside NYC,30.140756894207982,2.2532719400900416,5.596406352640049,Computer Information Systems,0,1,1,0,1,P
Brooklyn,23.37279839340273,3.1641387651015145,2.701211225432057,Computer Science,1,1,0,1,0,P
Outside NYC,16.686513396022892,3.3097607894130667,5.104587297398054,Computer Information Systems,1,0,0,1,0,P
Outside NYC,24.725163338629628,3.1283697796267878,15.445619856038952,Computer Science,1,1,1,1,0,P
Bronx,22.329313720101183,2.778373485703525,2.969517025506564,Computer Information Systems,1,1,1,1,1,P
Queens,16.756575561163206,3.1068475670296882,4.669595653127173,Computer Information Systems,1,1,1,1,0,P
Staten Island,23.94881838274215,2.826342929298066,6.897726777569071,Computer Information Systems,0,1,1,1,1,P
Brooklyn,21.054874128787805,2.598937559989432,3.4697536739335066,Computer Information Systems,1,0,1,1,0,P
Bronx,26.511926672668487,3.415000674814448,0.32940053354702403,Computer Science,0,1,0,1,1,P
Outside NYC,23.312112562861376,2.461310762575522,9.717990804467016,Computer Information Systems,1,1,0,1,1,P
Outside NYC,28.808076114547195,2.5480942760380483,4.435347341474083,Computer Science,1,1,1,1,1,P
Outside NYC,28.402066263171974,3.1170516541958846,3.113648674150569,Computer Information Systems,0,1,1,1,1,P
Outside NYC,18.390940068132483,3.1331697810031844,5.138855747781161,Computer Information Systems,1,1,0,1,0,P
Bronx,22.656247355626494,1.9846883247135985,7.2015314066251115,Computer Information Systems,0,0,0,1,1,P
Staten Island,28.190904035050053,3.5668772338002563,8.296961119636148,Computer Information Systems,1,0,0,1,0,P
Brooklyn,24.654616753813396,3.1921520103027654,7.502543894535931,Computer Information Systems,1,1,0,1,0,P
Outside NYC,16.331440909830917,2.9231340893542472,-1.1008433699101197,Computer Science,0,1,0,1,1,P
Manhattan,20.27170507226175,3.2951097795897173,4.835707994226547,Computer Science,1,0,1,1,0,P
Outside NYC,18.787864786962817,3.0006619959351415,3.8009724806117453,Computer Information Systems,1,1,1,1,1,P
Outside NYC,17.021701928796872,3.9674206538820913,0.12959047860161466,Computer Information Systems,1,0,1,0,0,P
Brooklyn,15.757745193466864,2.5909644208630667,9.64959382741313,Computer Information Systems,0,1,1,1,1,P
Queens,20.583256664569305,2.8078857257847836,7.378219088079073,Computer Information Systems,1,1,1,1,1,P
Outside NYC,27.092019031659607,2.5702948829986356,3.683486023969215,Computer Science,1,0,1,1,1,P
Outside NYC,19.96470140649068,3.7971662320989816,3.68226790426035,Computer Science,1,1,1,1,1,P
Manhattan,19.616246141550594,3.7998889894213597,9.300355750876477,Computer Science,0,1,1,1,0,P
Manhattan,21.791163278576633,2.1135889350090853,-4.245578083374074,Computer Information Systems,0,1,1,1,0,P
Brooklyn,26.049385825555635,2.663247091892337,11.393111324117557,Computer Science,0,0,1,0,0,P
Outside NYC,26.654016965281883,3.39892792894771,0.7448381437404974,Computer Information Systems,0,1,1,1,1,P
Bronx,27.215930486927185,3.335059703471014,0.40738693040175633,Computer Science,1,1,0,1,0,P
Manhattan,26.384472509773826,2.364832405799893,3.7030220287122892,Computer Information Systems,0,0,0,1,0,P
Brooklyn,21.916147990228936,2.603127507422526,6.2083494827470584,Computer Information Systems,0,1,0,1,0,P
Outside NYC,19.611475760785925,3.5947962712696606,11.962120831984514,Computer Science,1,1,1,1,0,P
Queens,21.071571906795633,3.543775524945741,7.289453130592928,Computer Science,0,1,1,0,0,P
Queens,20.021094781031444,2.635157248866542,4.88940900137194,Computer Information Systems,1,0,1,0,1,P
Brooklyn,14.918863518180672,3.062473553547271,8.421871453827157,Computer Science,1,0,0,0,1,P
Queens,19.835766222652616,1.7323113468641929,-2.331401137704715,Computer Science,0,1,0,1,1,P
Outside NYC,22.202478836734336,2.794956790327912,4.9448135585060555,Computer Information Systems,1,1,1,1,0,P
Queens,19.827841424921928,2.2807279216908496,1.9941755326198143,Computer Information Systems,1,1,1,1,0,P
Bronx,22.55574608426567,2.531304918490557,7.671198096629457,Computer Information Systems,1,1,1,1,1,P
Outside NYC,25.43222740529592,3.1057042088784317,6.549975788909781,Computer Information Systems,0,0,1,1,0,P
Outside NYC,24.642710073890232,3.0711409041850617,2.968594239374076,Computer Information Systems,1,1,1,1,1,P
Queens,21.09727936365186,2.6539364677743746,-1.6052165222449384,Computer Information Systems,1,0,1,0,1,P
Outside NYC,20.33825701077844,2.4425550020204247,4.038528505038627,Computer Science,1,1,1,1,1,P
Queens,23.911256182042546,2.6706600802665412,12.041584415766408,Computer Information Systems,1,1,0,1,1,P
Outside NYC,23.202317072969606,2.7627576153258007,1.324367292267258,Computer Information Systems,0,1,1,1,1,P
Queens,24.107587448079133,2.90804462016083,5.039738232000482,Computer Information Systems,1,1,1,1,1,P
Outside NYC,23.933641278136857,3.4277291108009957,6.632849248184362,Computer Information Systems,1,1,0,1,0,P
Brooklyn,23.65817501638679,3.7684476535354037,7.329542154693878,Computer Science,1,1,1,1,0,P
Outside NYC,26.951954165059817,3.0282025559522805,5.370810110557803,Computer Science,0,1,0,0,1,P
Brooklyn,19.920085017388953,3.313583712707504,6.792549640669293,Computer Information Systems,0,0,0,1,0,P
Outside NYC,23.636231870282266,2.8241494176091315,8.707506650162873,Computer Information Systems,1,1,1,1,0,P
Outside NYC,12.732428290641366,1.9988948667879396,4.5691208070690905,Computer Science,1,1,0,1,0,P
Queens,17.31707850070544,2.3305164259295457,4.924571050695286,Computer Information Systems,1,0,0,1,0,P
Outside NYC,24.16723173352006,3.2329833620582473,10.91894050442502,Computer Information Systems,1,1,0,1,0,P
Outside NYC,26.353619034067112,3.159797672018769,8.988686526158808,Computer Information Systems,1,0,1,1,1,P
Brooklyn,18.89292373908885,2.9557686036688042,16.162818345398723,Computer Science,1,1,0,0,1,P
Outside NYC,18.20633679959828,3.249127762591325,3.174328126941791,Computer Information Systems,1,1,1,1,0,P
Outside NYC,22.262075158720776,2.814601631008723,11.110819398536943,Computer Science,0,1,1,0,0,P
Manhattan,16.2565918898374,3.1558069052595474,5.390404463530495,Computer Science,0,0,1,0,0,P
Brooklyn,21.830901631635474,3.4806883007229454,7.312530050439404,Computer Information Systems,1,1,1,1,1,P
Outside NYC,19.488586454285326,2.481036577452692,6.55401396145705,Computer Science,0,0,0,1,0,P
Bronx,20.428681093194413,3.6263810686213103,5.934350558947794,Computer Information Systems,0,0,1,0,0,P
Brooklyn,21.577286485684766,2.6180226687781234,11.467274972471888,Computer Science,1,0,1,1,1,P
Bronx,19.11605580606194,2.6262891419759855,9.71635619695508,Computer Science,0,1,1,0,0,P
Bronx,25.52767544201732,3.8692423190209633,-3.5587231875197176,Computer Information Systems,1,1,1,1,0,P
Bronx,16.851168638629282,2.9578629866852757,13.266158809532829,Computer Information Systems,1,1,1,0,1,P
Outside NYC,21.687063337364446,3.562544583206918,8.610466222499381,Computer Information Systems,0,1,1,1,1,P
Outside NYC,20.454231053720353,3.010109052632127,5.100568852108612,Computer Information Systems,1,1,1,1,0,P
Outside NYC,17.664426885104564,3.468383922862211,1.8846017675871511,Computer Information Systems,0,1,0,0,0,P
Outside NYC,22.411026302504652,2.849532433180625,11.860520551419192,Computer Information Systems,1,1,1,1,0,P
Outside NYC,24.162796734585967,2.9360097377106587,2.0466906151379236,Computer Information Systems,1,1,1,1,0,P
Outside NYC,19.439981007523976,3.150042995056296,12.571002697726314,Computer Information Systems,1,1,1,1,0,P
Brooklyn,27.289346198812233,3.4868808592143723,3.561351860629624,Computer Information Systems,1,1,0,1,0,P
Queens,27.658792068111275,1.9643717138480166,5.083317420246672,Computer Information Systems,1,1,1,1,0,P
Bronx,23.049678141713144,1.821048358941008,9.603388114515823,Computer Science,0,1,1,1,0,P
Outside NYC,23.19730014861999,2.539955422301975,6.118863129278521,Computer Information Systems,1,1,0,1,1,P
Manhattan,25.649952568887894,3.222980430325269,0.4262798245418127,Computer Science,1,1,0,1,1,P
Manhattan,20.992310689201705,3.373393154309008,10.107582278660892,Computer Science,1,0,1,1,1,P
Queens,25.40765619647426,2.0787430023887925,9.000666444589942,Computer Science,0,0,0,1,0,P
Outside NYC,17.151051984493822,3.753160379907536,4.396962028184644,Computer Information Systems,1,1,0,1,1,P
Bronx,18.21811072674849,3.4090866097510024,6.022858705575109,Computer Science,1,1,1,0,1,P
Brooklyn,24.148066566352504,3.6264298030234707,5.501378302335447,Computer Science,1,1,1,1,1,P
Manhattan,25.64256883231979,2.45869542462936,4.275076880353546,Computer Information Systems,0,1,1,1,0,P
Manhattan,19.785978022149884,3.1860803484128275,9.116340555535444,Computer Information Systems,1,1,0,0,1,P
Outside NYC,17.904546243428786,3.13971427673245,7.691175461069691,Computer Information Systems,0,0,1,1,1,P
Queens,16.77463184012446,2.5267554801158427,13.840856367122072,Computer Information Systems,1,1,0,1,0,P
Outside NYC,29.50214069173196,2.7503375432097243,11.054722246724465,Computer Science,0,1,0,1,1,P
Bronx,24.210899676731795,2.6347281756469236,11.581652990576082,Computer Science,1,1,1,0,1,P
Manhattan,21.75518358368196,4.031167180240027,5.969792556846294,Computer Information Systems,1,1,1,0,0,P
Manhattan,22.21450299855205,2.4368712764390943,6.046615535530973,Computer Information Systems,1,0,0,1,0,P
Outside NYC,17.491198117543668,3.1471774849451064,1.984086389635178,Computer Science,0,1,1,1,0,P
Outside NYC,16.842900035121584,3.4557986895230846,7.698618850160204,Computer Information Systems,1,0,1,1,0,P
Bronx,25.474583789869662,2.8642893281584874,2.6470012961080758,Computer Science,1,0,0,1,0,P
Brooklyn,25.05431589358435,2.5378804842505622,9.699117425361681,Computer Science,1,1,1,1,0,P
Manhattan,20.569128635479313,2.4637698255934954,0.9431340736110947,Computer Information Systems,1,0,1,1,0,P
Outside NYC,25.241582621748428,2.6021934729404617,-1.9232242836172082,Computer Information Systems,1,1,1,1,1,P
Brooklyn,23.335100303483543,2.5972488740950603,-2.9700150721282625,Computer Science,1,1,1,1,1,P
Manhattan,19.428935043203225,2.2491821484598855,8.481953159311463,Computer Science,1,1,1,1,0,P
Outside NYC,22.386823961094567,2.950164739706813,3.929543483151974,Computer Information Systems,1,1,1,1,1,P
Outside NYC,22.239977651198995,3.7582389901619226,7.190789877014786,Computer Information Systems,1,0,1,0,0,P
Manhattan,30.02834986272668,1.533603374647799,4.591884852766839,Computer Science,1,0,1,1,0,P
Outside NYC,20.963158144100777,3.0956860869297698,7.439065904025771,Computer Science,1,1,1,0,1,P
Outside NYC,23.275482130532293,2.4771971495434473,3.6511631157448874,Computer Science,0,0,1,1,0,P
Brooklyn,22.236978328592638,2.5381147846168424,2.342690567336894,Computer Information Systems,1,1,0,0,1,P
Bronx,26.44664477864257,2.7514743988119084,10.670380342728134,Computer Information Systems,1,1,1,1,0,P
Outside NYC,18.447455693261013,2.9927785671063463,0.34958134792189544,Computer Information Systems,1,1,1,1,0,P
Staten Island,18.88253767598614,4.145907628176079,15.128242669981264,Computer Information Systems,0,1,1,0,0,P
Manhattan,25.74150576373086,2.593526817079575,4.439880496761732,Computer Information Systems,1,1,1,1,0,P
Brooklyn,23.695721586970603,2.7483287122094335,5.660220797569492,Computer Science,1,1,1,0,1,P
Queens,26.256029985904295,1.888358910837221,2.5536940455321635,Computer Information Systems,1,1,1,1,0,P
Outside NYC,25.097478218055628,3.5691002922001256,12.948664121349218,Computer Information Systems,1,1,0,1,0,P
Outside NYC,22.468901144955986,3.2375645349348594,5.212789418360773,Computer Science,0,1,0,0,1,P
Queens,21.274351108606428,2.1417124837052253,3.751497999977615,Computer Information Systems,1,1,1,1,0,P
Manhattan,24.340384157630023,3.775967175985291,3.810429959811002,Computer Information Systems,1,1,0,0,1,P
Outside NYC,21.908599871895227,3.0516501963014075,7.155035011709226,Computer Information Systems,0,0,0,1,0,P
Outside NYC,24.749636426815382,1.5229716557626083,6.330726113483898,Computer Information Systems,0,1,1,0,0,P
Brooklyn,26.20531863834658,2.735996809435686,5.615003576889629,Computer Information Systems,0,0,0,0,0,P
Outside NYC,24.854026619934913,2.7621892010612603,0.12029184162824968,Computer Information Systems,0,1,1,0,1,P
Outside NYC,25.013231984713,3.1209621969691987,14.925770584865559,Computer Information Systems,1,1,0,0,0,P
Outside NYC,15.061238081532196,3.138380786679969,3.6181526707957685,Computer Science,0,0,1,1,1,P
Brooklyn,22.40357276131253,2.572382223738193,7.746226990023333,Computer Science,0,0,0,1,0,P
Brooklyn,22.07983346855252,3.1844867803530175,3.4687072124301683,Computer Information Systems,0,1,1,1,1,P
Outside NYC,29.956240719178503,3.378314149139663,8.819571624648924,Computer Information Systems,1,1,0,1,1,P
Outside NYC,23.87926634669405,3.2793402402420497,8.772106433649661,Computer Science,0,1,1,1,1,P
Brooklyn,21.06155928703625,3.431435806627392,9.253483643583209,Computer Information Systems,0,0,1,1,1,P
Outside NYC,23.71098053845957,3.3338412386300655,2.3007649823005654,Computer Information Systems,0,1,0,1,0,P
Manhattan,18.177393880171334,2.6463167105807273,7.942743360469578,Computer Science,0,0,1,1,0,P
Manhattan,29.12756675298344,3.453365148213093,2.856265945488279,Computer Information Systems,0,1,1,1,1,P
Bronx,17.093020785314295,2.7237617487576262,-0.3355460981102629,Computer Information Systems,0,0,1,1,1,P
Outside NYC,12.125604122735611,2.926323846539272,1.6348316431490266,Computer Information Systems,0,0,1,1,1,P
Queens,20.56750540055846,2.9571870052496503,6.655334118427689,Computer Information Systems,1,1,0,1,1,P
Brooklyn,21.94956287084978,3.131385589965791,1.8752094874298217,Computer Information Systems,1,1,1,1,0,P
Outside NYC,18.69220557296142,4.023481599552529,8.165893130599741,Computer Science,1,1,1,1,0,P
Outside NYC,22.144764688716418,3.2460115020162505,14.565736301047096,Computer Information Systems,1,1,1,1,1,P
Bronx,33.01655668978934,2.234898375403711,7.231542170725954,Computer Science,0,0,0,0,0,P
Outside NYC,19.955140721703614,3.2698352346794555,10.92882272287586,Computer Information Systems,1,0,1,1,1,P
Outside NYC,23.637259533806013,3.038651805737894,6.1502193024914975,Computer Information Systems,1,1,1,1,1,P
Outside NYC,26.112991861779495,2.9050022841849605,10.316070548996192,Computer Information Systems,1,1,1,1,0,P
Outside NYC,15.51894196623173,3.284659310338127,4.259003613379977,Computer Science,0,1,1,1,1,P
Bronx,21.79019643937771,2.833112505461942,4.208097883346495,Computer Information Systems,0,1,0,1,0,P
Brooklyn,14.772462645988012,2.556318661787629,6.045904171423159,Computer Science,1,1,0,1,1,P
Brooklyn,22.30287340736321,3.1958012228860384,4.669373208129084,Computer Information Systems,0,1,1,1,0,P
Outside NYC,22.633403107167165,2.8631185901231864,8.574095119457912,Computer Information Systems,1,1,1,1,0,P
Brooklyn,21.980997424584277,3.199292439966258,11.084477298380488,Computer Information Systems,1,1,1,1,1,P
Outside NYC,31.525873542553125,3.4609040598573664,2.802929059280757,Computer Information Systems,1,1,1,0,0,P
Brooklyn,22.73377484075578,2.8029156696641766,8.348783806580078,Computer Science,0,1,0,1,0,P
Brooklyn,14.171079461168832,3.3592834028396688,2.076171174792599,Computer Information Systems,1,0,1,1,1,P
Outside NYC,20.772435267558443,2.970204551999853,3.541793231370488,Computer Information Systems,1,0,1,1,1,P
Outside NYC,23.87967369689651,3.994246748353113,8.239589932905439,Computer Information Systems,1,1,1,1,1,P
Brooklyn,23.816013653876524,2.2782531180365533,5.481838706308318,Computer Information Systems,1,0,0,1,0,P
Outside NYC,35.93878270093239,3.0397072933499207,5.441210542676553,Computer Science,1,1,0,0,0,P
Bronx,15.285029399887858,2.6291620586371836,5.086100836839075,Computer Information Systems,1,1,1,1,1,P
Brooklyn,19.878355851445853,3.3903994157677873,-0.3593386382591399,Computer Science,0,1,0,1,0,P
Outside NYC,29.008757757211267,3.231126075636585,5.169773539242618,Computer Science,1,0,1,1,1,P
Outside NYC,27.30085978869549,3.3253849090493106,3.518266598888743,Computer Information Systems,1,0,1,1,0,P
Bronx,22.142192448386037,3.3537722894675515,5.646162862924438,Computer Information Systems,0,1,0,1,0,P
Bronx,26.403279699378412,3.8417072208594814,6.325027431505713,Computer Science,1,1,1,1,1,P
Outside NYC,21.11203323739058,3.5309837501174544,12.315037538067973,Computer Information Systems,1,1,0,1,1,P
Bronx,24.198958100064562,2.9929145137627913,3.1852233311115548,Computer Science,0,0,0,1,0,P
Bronx,27.69560602645166,4.014609644751502,6.070776944108008,Computer Science,1,1,1,1,1,P
Brooklyn,22.72626700876213,3.1481447204513344,11.411249975831385,Computer Information Systems,1,1,1,1,0,P
Queens,26.80774243535936,3.36642905114204,0.409996006729207,Computer Information Systems,1,1,0,0,1,P
Brooklyn,17.264404256101322,3.7029217932452285,12.270139581334082,Computer Science,1,1,1,0,0,P
Manhattan,27.552666147079435,2.947479461374583,2.528930022406347,Computer Information Systems,1,0,1,1,1,P
Bronx,20.93630159141833,3.740064491055369,3.9098252197493766,Computer Information Systems,0,0,1,1,1,P
Manhattan,19.177151465530994,2.6058412525852424,3.17203588362272,Computer Science,1,1,0,1,0,P
Outside NYC,31.305233610935353,3.565286335109371,8.076557751135086,Computer Science,1,1,1,1,0,P
Outside NYC,22.316910717295762,3.1842602368641644,2.031922205051049,Computer Information Systems,1,1,1,0,0,P
Bronx,24.522134710155633,3.085420740826635,0.5134450775467787,Computer Information Systems,0,1,0,0,1,P
Brooklyn,24.879069440965704,3.3954736009706163,10.617219627389293,Computer Science,0,1,1,1,1,P
Outside NYC,23.059266384136144,3.4108830755749486,7.187532188100095,Computer Information Systems,1,0,0,1,0,P
Outside NYC,26.72591074792822,3.2054030238246445,-0.013651108545825963,Computer Science,1,1,0,1,0,P
Outside NYC,29.23550257648601,3.3343700234616898,6.576124725839235,Computer Information Systems,1,1,1,0,1,P
Outside NYC,25.08219297846423,4.1779737812333915,5.850982385657347,Computer Information Systems,1,1,0,1,1,P
Outside NYC,22.951306483813617,2.9893946762442947,4.095400461218079,Computer Science,0,1,0,1,1,P
Outside NYC,23.27964478142343,3.2834589690558635,11.963580279745456,Computer Science,1,0,0,1,1,P
Outside NYC,19.048652030567112,2.926594563118357,10.507284359172456,Computer Information Systems,0,1,1,0,1,P
Brooklyn,15.815292087012581,3.4256606423311995,9.996369547883234,Computer Science,1,1,1,1,0,P
Queens,21.542676755001217,3.784757947753272,4.9020677242277495,Computer Information Systems,1,1,1,1,0,P
Brooklyn,23.34112523558455,3.4624672278880118,-0.6395908135031387,Computer Information Systems,0,1,0,0,0,P
Brooklyn,23.708772039470052,2.687211705895307,12.67772849742246,Computer Science,1,0,1,1,1,P
Brooklyn,20.625449636151497,3.587224705971361,5.791514604638236,Computer Science,1,1,1,1,1,P
Brooklyn,20.42565960123929,3.0690113625548703,8.601979441619285,Computer Information Systems,1,1,1,1,1,P
Manhattan,28.029590715191258,3.1719417686005427,8.162708457621719,Computer Science,1,0,0,0,1,P
Outside NYC,25.78064650218019,3.4725250110697146,8.769306020033879,Computer Information Systems,0,1,1,1,0,P
Outside NYC,28.357522404449465,2.924897896919673,3.48644830031991,Computer Information Systems,0,1,1,1,1,P
Brooklyn,20.6199028932621,2.3597206259342394,12.05482359266844,Computer Information Systems,1,1,1,1,0,P
Outside NYC,20.600932235667663,2.368269042515059,1.8971291619229955,Computer Information Systems,1,0,1,1,0,P
Bronx,26.431914818646295,2.790769296788018,10.008979189244513,Computer Information Systems,0,0,1,1,1,P
Bronx,28.74609415714323,3.136465863485782,-2.6794914478389344,Computer Information Systems,1,1,1,1,0,P
Brooklyn,23.590461486245182,3.587384102030133,7.318125598969446,Computer Science,1,1,0,0,1,P
Outside NYC,34.57856150938784,3.7614611608655957,11.231609371653871,Computer Information Systems,1,1,0,1,1,P
Bronx,19.30506377313294,2.5190048934776925,3.2351777003575926,Computer Science,0,0,0,1,1,P
Outside NYC,18.15282104437105,2.7456539196485683,0.14353910514887858,Computer Science,0,1,1,1,0,P
Outside NYC,18.637775706192773,3.625418772683612,-6.622261777235526,Computer Information Systems,1,0,1,0,1,P
Outside NYC,24.107018919598346,3.06327656201519,4.7590413091557435,Computer Science,0,1,0,1,0,P
Brooklyn,21.477868229925612,2.535672774777531,7.499431896300287,Computer Information Systems,1,1,1,0,1,P
Brooklyn,25.794944765477556,2.598139199738494,-0.150022210235786,Computer Science,1,0,1,1,0,P
Outside NYC,26.602660761472286,2.6053647941036693,5.175089735011952,Computer Information Systems,1,1,1,0,0,P
Brooklyn,19.095917344415504,3.0600128108298117,5.338681515802172,Computer Science,1,1,1,1,0,P
Brooklyn,20.50823673174483,3.6077698214265554,6.246732846087505,Computer Information Systems,1,1,1,1,1,P
Bronx,17.41328635299101,2.7786544237631863,5.88694854739438,Computer Information Systems,1,1,1,1,1,P
Bronx,15.652447282910039,2.858660738864135,11.459225664463922,Computer Information Systems,1,0,1,1,0,P
Outside NYC,16.48962290068753,2.424833301143991,10.243873180275518,Computer Information Systems,1,1,0,1,0,P
Brooklyn,17.03331067439892,3.5397755334568366,7.04437102048951,Computer Information Systems,1,1,0,1,1,P
Outside NYC,23.24409181037867,1.9797466064313003,7.467917905868285,Computer Information Systems,1,1,0,1,1,P
Outside NYC,26.095819155506327,2.9777323935004545,8.58366338315495,Computer Information Systems,1,1,0,1,1,P
Manhattan,31.764066161371453,3.5929821879094663,7.154455868631599,Computer Information Systems,1,1,1,1,1,P
Outside NYC,22.334332851775844,3.1281935999346064,5.186556909355034,Computer Science,1,0,0,0,0,P
Brooklyn,24.44209959696923,3.1592689838124968,4.885547359825386,Computer Science,1,0,0,1,1,P
Queens,22.436364152235008,3.3978910943215435,1.2022975416792923,Computer Information Systems,1,1,0,0,1,P
Brooklyn,24.389055747811682,2.6248172944569133,8.033462808431251,Computer Information Systems,1,1,0,1,1,P
Brooklyn,21.129372696404733,2.3026255252856487,4.349665735342226,Computer Information Systems,1,1,1,1,1,P
Outside NYC,21.66050693305246,3.635937545679452,8.24608231854921,Computer Information Systems,1,1,0,1,1,P
Manhattan,17.724611544389717,3.5751521029963054,4.64085713723162,Computer Information Systems,0,0,0,1,0,P
Outside NYC,19.294950674842443,3.4706954105577488,4.332901007571802,Computer Information Systems,1,1,0,1,1,P
Outside NYC,16.452228186630197,3.012880369147291,6.676062401003854,Computer Information Systems,1,1,0,0,1,P
Brooklyn,18.184970395523067,3.1242134574299474,7.033665987951641,Computer Information Systems,0,1,0,1,0,P
Queens,23.988413761018126,2.213108365900683,1.1599596745289906,Computer Information Systems,1,1,0,1,1,P
Queens,24.68291039042771,3.662436388886298,9.489228283031197,Computer Information Systems,0,1,1,1,0,P
Queens,24.400470137893315,3.605928039727659,4.2141311431972275,Computer Information Systems,1,1,1,1,1,P
Outside NYC,24.235321346829185,2.5454565547545105,11.057982764332143,Computer Information Systems,1,1,1,0,1,P
Queens,28.01528179421792,4.003040559227629,7.030267479574843,Computer Information Systems,1,1,0,0,0,P
Outside NYC,21.146753153522702,3.1200913521385907,3.748308032141483,Computer Science,1,1,0,0,1,P
Bronx,23.443959743965674,2.788652107776818,12.198285773771623,Computer Information Systems,1,1,1,1,0,P
Outside NYC,23.19008415967175,3.3253124994071452,4.14241477511615,Computer Science,1,1,0,1,0,P
Brooklyn,16.89306827956766,3.175302189117686,2.377064055910895,Computer Science,1,1,1,1,1,P
Outside NYC,21.86144009711827,3.7761318552101666,10.63420429270866,Computer Information Systems,1,1,1,0,0,P
Brooklyn,23.30313433500885,3.13198126006692,11.594831278638658,Computer Information Systems,1,0,0,1,0,P
Outside NYC,26.372010832635585,3.1943886197334646,6.476856950579579,Computer Information Systems,0,0,1,1,1,P
Bronx,27.107286283199613,3.386025606384059,4.046906088651457,Computer Science,1,1,1,1,0,P
Bronx,20.1074162480938,3.546364545089949,2.685124628584462,Computer Information Systems,1,1,1,1,0,P
Manhattan,21.42366874512105,3.7637942749803637,11.802073263561333,Computer Information Systems,0,1,1,0,0,P
Outside NYC,24.476089627058997,3.575981579529473,9.715575668008382,Computer Information Systems,1,0,0,1,1,P
Queens,13.865286428437473,1.9439489572812645,7.938028913780759,Computer Information Systems,1,0,1,0,1,P
Manhattan,26.29564645543394,2.379306521520876,-2.097564909098269,Computer Information Systems,1,0,0,1,0,P
Outside NYC,24.724677932219628,2.919496099635739,9.393835359967234,Computer Science,1,0,0,1,1,P
Manhattan,25.352028468878306,2.8924240606207374,8.853625243494106,Computer Information Systems,1,0,0,0,1,P
Outside NYC,18.67027874212758,2.720531632762168,6.796456395865283,Computer Information Systems,1,0,1,1,0,P
Bronx,24.09652305098268,2.9318990714912134,9.17492984794125,Computer Information Systems,1,1,0,1,0,P
Brooklyn,28.470418800972716,4.221386812011921,1.94521999766323,Computer Information Systems,1,0,0,1,0,P
Outside NYC,25.37774413842898,3.2278680886227744,12.42041907268684,Computer Information Systems,1,1,1,0,1,P
Manhattan,24.2537493974212,3.2336527672316877,5.7879124295902855,Computer Information Systems,1,1,1,0,1,P
Brooklyn,23.52794098396103,3.7557110355210543,8.622937623242322,Computer Information Systems,0,1,0,1,1,P
Outside NYC,31.02150017563244,2.5592894939543758,9.31958738763462,Computer Information Systems,1,1,1,1,0,P
