,borough,age,gpa,days_missed,major,full_time,freshman,first_generation,employed,pell_grant,grade
3031,Outside NYC,19.28877503753163,3.9559761691328563,7.089609634098558,Computer Science,1,1,1,1,1,P
3032,Queens,23.41961693177094,2.487156836942332,1.15421434163256,Computer Information Systems,1,1,1,0,1,P
3033,Outside NYC,25.878869219995103,3.3975589763262213,7.296906843999571,Computer Information Systems,1,1,1,1,0,P
3034,Brooklyn,27.7045804269817,3.2118993435719965,4.8382706320416755,Computer Information Systems,1,1,0,0,0,P
3035,Queens,29.421854820851653,3.318168837965501,1.255330420600747,Computer Information Systems,0,1,1,1,1,P
3036,Queens,30.106270007991284,2.23889272754344,10.32526529885901,Computer Information Systems,1,1,1,0,1,P
3037,Queens,16.064115574132273,3.2559803713149242,8.098176963604073,Computer Information Systems,1,1,0,1,0,P
3038,Manhattan,22.350053661847447,2.7814080974728665,10.088065954610368,Computer Information Systems,0,1,1,1,1,P
3039,Outside NYC,18.486375283236484,3.630945956509833,-1.6247206460586927,Computer Information Systems,0,0,0,0,0,P
3040,Brooklyn,27.663332686488854,3.3455920744806855,6.464663477622391,Computer Science,1,1,0,1,1,P
3041,Manhattan,24.067375585261626,3.897467469306309,14.875202744970819,Computer Information Systems,1,1,1,1,0,P
3042,Outside NYC,24.82843170285666,3.766109680667517,7.880798097871882,Computer Information Systems,1,1,1,1,0,P
3043,Manhattan,21.75624695610499,3.057312917820741,2.8246923752070754,Computer Information Systems,0,1,0,0,1,P
3044,Manhattan,22.365860302223602,2.8210349293923382,8.781858049708688,Computer Science,1,0,0,0,0,P
3045,Brooklyn,17.529608515810295,3.4262993623679043,-5.281918454915381,Computer Science,0,0,0,1,0,P
3046,Outside NYC,15.72749065985425,2.8367962398046687,7.43345057596872,Computer Information Systems,0,1,1,1,0,P
3047,Outside NYC,23.09561313413709,2.9144555295408794,0.1415355216911891,Computer Information Systems,0,0,1,1,0,P
3048,Manhattan,29.60337609821372,2.77253716771194,11.071113696634935,Computer Information Systems,0,1,0,1,1,P
3049,Brooklyn,18.468120975038804,3.7122967198518486,6.292855010475959,Computer Information Systems,0,1,1,1,1,P
3050,Outside NYC,31.289390787973485,2.164103224823483,-0.8245000805335234,Computer Information Systems,1,0,1,1,0,P
3051,Outside NYC,20.88020867718465,2.599053310905271,9.053511341508612,Computer Science,0,1,0,0,1,P
3052,Queens,24.463584959732724,3.2233183325463974,4.71794910861498,Computer Science,1,1,0,0,0,P
3053,Bronx,25.270040892266643,3.654087575816178,12.567995679643186,Computer Information Systems,1,1,0,1,1,P
3054,Outside NYC,26.246826391385692,3.912825146702915,4.68996657241634,Computer Information Systems,0,1,0,1,1,P
3055,Queens,19.23776254369875,1.9971947592525299,12.60622251845465,Computer Science,0,0,1,1,1,P
3056,Manhattan,19.14736927607388,2.492059517456892,4.767121878543967,Computer Information Systems,1,1,1,1,0,P
3057,Outside NYC,25.65770977274958,2.620805631607885,5.9820365707932766,Computer Information Systems,0,0,1,0,0,P
3058,Outside NYC,22.644943675077574,3.5604142731734596,4.652419715936327,Computer Information Systems,0,1,1,1,1,P
3059,Outside NYC,18.38168736842042,2.935542356349428,4.824994028099401,Computer Information Systems,0,1,1,1,1,P
3060,Manhattan,21.891298082203647,3.2672863654081996,9.643230392957676,Computer Science,1,0,0,0,1,P
3061,Outside NYC,27.67673997371927,2.6162204485575615,-2.8077152459980486,Computer Information Systems,1,1,0,1,1,P
3062,Brooklyn,18.132997905598387,3.9667681573374516,5.402149823393231,Computer Information Systems,0,0,1,1,1,P
3063,Manhattan,28.384151815378598,2.981290684815091,0.7067408977130345,Computer Information Systems,1,0,1,1,0,P
3064,Brooklyn,27.63473447626291,3.1762755616252223,-0.8181935112200778,Computer Information Systems,1,1,1,1,0,P
3065,Outside NYC,25.637818076436467,2.173762119529008,9.723200988992655,Computer Information Systems,0,1,1,1,1,P
3066,Outside NYC,24.937943340890428,3.0676722505088767,6.669360802975496,Computer Information Systems,0,1,1,1,0,P
3067,Outside NYC,20.50661797093356,3.288717759034119,18.404652288683224,Computer Information Systems,1,0,1,1,0,P
3068,Outside NYC,24.24611949406738,1.9747241737875563,9.627263047955362,Computer Information Systems,0,1,0,1,0,P
3069,Brooklyn,30.17933840462525,3.3550274304173238,6.440150561429717,Computer Information Systems,1,1,0,1,1,P
3070,Outside NYC,21.171307610193544,4.275270998272194,8.434614068262439,Computer Information Systems,1,1,0,1,0,P
3071,Queens,20.851539268189512,3.1928107719635648,9.417435138929367,Computer Information Systems,1,0,1,0,0,P
3072,Queens,27.020300759948423,1.9774768640706764,7.842122633590995,Computer Information Systems,0,1,1,1,0,P
3073,Brooklyn,19.566266976691992,3.5021954995821014,10.068247314972488,Computer Science,1,1,1,0,0,P
3074,Brooklyn,23.78068872815209,1.929446614514962,7.076023155792074,Computer Information Systems,1,1,0,0,0,P
3075,Outside NYC,24.674293628700713,4.007104615171166,-0.9573816406538791,Computer Information Systems,0,1,1,0,0,P
3076,Manhattan,30.38525035463312,4.0136865320912385,8.47666864563302,Computer Information Systems,1,0,1,0,1,P
3077,Staten Island,19.002870587467704,3.288232789768871,-1.4581044964562668,Computer Science,1,1,0,1,0,P
3078,Brooklyn,16.953996266726143,2.8066448701208704,12.884146217072049,Computer Information Systems,1,0,1,1,1,P
3079,Outside NYC,25.172077895231876,2.3088067378288826,11.990094530467891,Computer Science,0,0,1,0,1,P
3080,Outside NYC,20.248942081054928,2.8965011977086244,2.647824383646308,Computer Information Systems,1,0,0,1,0,P
3081,Bronx,19.898110147233226,2.51956188706545,0.34748951941519657,Computer Information Systems,1,1,0,1,1,P
3082,Brooklyn,26.420133233110075,2.374640482412841,9.674107391110308,Computer Science,0,0,1,1,0,P
3083,Bronx,21.06187208685736,3.1609923657802583,3.0163247916103586,Computer Information Systems,1,0,0,0,0,P
3084,Bronx,26.22163252607382,3.099580186485532,3.205466614801743,Computer Science,1,1,0,1,1,P
3085,Queens,22.45106946489815,3.3616344677084493,-1.941578528175671,Computer Information Systems,1,0,0,1,1,P
3086,Outside NYC,21.510227769296748,2.9899613306785544,8.796870875095692,Computer Information Systems,1,0,0,1,0,P
3087,Outside NYC,22.58487633495902,2.2324090037898605,8.5658784902087,Computer Science,0,1,1,0,1,P
3088,Outside NYC,23.911053899222402,2.463516153429012,-0.9577221456918679,Computer Information Systems,1,1,1,1,0,P
3089,Queens,27.78304508528695,3.141496532385406,9.065133918465847,Computer Information Systems,1,0,0,1,0,P
3090,Brooklyn,23.458577357366856,3.978784371450359,8.39103226752389,Computer Science,1,0,0,0,0,P
3091,Bronx,27.501078159286017,3.9960673877297688,10.04618739560247,Computer Science,0,0,0,0,1,P
3092,Outside NYC,18.971991573761212,3.3664122635336176,2.16285794598261,Computer Information Systems,0,1,0,0,1,P
3093,Manhattan,22.18405230184455,2.72339160304238,5.920571998208135,Computer Information Systems,0,0,1,0,0,P
3094,Brooklyn,20.720958315721287,2.981288402974372,10.378114138952336,Computer Information Systems,1,1,1,0,0,P
3095,Outside NYC,17.084113619348404,3.655510325111734,-0.6163309624146667,Computer Information Systems,0,1,0,1,0,P
3096,Queens,20.065724388302243,3.192416822802834,14.822280404266404,Computer Information Systems,1,1,1,0,1,P
3097,Queens,18.132500083215923,2.353331579062686,13.306595683150814,Computer Information Systems,1,0,1,1,1,P
3098,Manhattan,20.617439962570987,2.8097779494346438,6.6157159113434885,Computer Information Systems,1,1,1,0,0,P
3099,Outside NYC,23.604857286438374,2.702650924114233,8.237701995428704,Computer Information Systems,0,1,1,0,0,P
3100,Queens,25.59183224572197,4.175597161902155,-0.48612334476115926,Computer Information Systems,1,0,1,0,1,P
3101,Outside NYC,24.850944209777417,2.7497111107782395,6.347887544240652,Computer Information Systems,1,0,1,1,1,P
3102,Queens,20.14888077811112,2.2837387782356626,3.564430066534307,Computer Information Systems,0,0,1,1,1,P
3103,Brooklyn,19.83405664169654,3.293064297700112,4.525695015939916,Computer Information Systems,1,1,0,1,1,P
3104,Outside NYC,19.6853295468538,3.688077842162701,-3.8461522563689794,Computer Information Systems,1,0,1,0,0,P
3105,Manhattan,23.808572622941636,2.9653738700361227,8.80153250557893,Computer Science,1,0,0,0,1,P
3106,Brooklyn,25.676398314857984,3.3578822893833404,7.228667196329642,Computer Information Systems,1,1,0,1,0,P
3107,Manhattan,30.146900204346636,3.5240907687739664,3.0177041551630257,Computer Information Systems,0,0,1,1,0,P
3108,Outside NYC,22.45637686331144,3.841957813514173,11.160529889894786,Computer Science,0,0,0,0,1,P
3109,Manhattan,21.221348015545594,4.164638773621048,8.666284528928156,Computer Information Systems,0,1,0,0,0,P
3110,Queens,23.22069203379713,2.4894255260238607,5.421093935634067,Computer Information Systems,1,1,1,1,0,P
3111,Outside NYC,24.14434250146315,2.7485328354173086,4.7856651361281175,Computer Information Systems,1,0,1,0,1,P
3112,Queens,18.96784121039113,2.7809760178958833,10.097468559682877,Computer Information Systems,1,1,0,1,0,P
3113,Queens,17.443903221936026,2.8407304718892106,10.041619996095228,Computer Information Systems,1,1,1,0,0,P
3114,Bronx,22.63467321687612,2.3930236670100418,4.374856508181285,Computer Information Systems,1,1,1,1,0,P
3115,Bronx,16.608052388488908,1.7519216513760278,5.182902275834824,Computer Information Systems,1,1,1,1,0,P
3116,Outside NYC,21.56245832698562,4.477542847772121,3.4615129201705277,Computer Information Systems,1,1,1,0,1,P
3117,Queens,27.047758569940534,2.700729440147084,6.708671350912182,Computer Information Systems,1,1,0,0,0,P
3118,Bronx,20.841871707407297,4.438052524094312,6.192354851776233,Computer Information Systems,1,0,0,1,1,P
3119,Outside NYC,19.83915239371611,3.0328039060994723,1.4879052269073973,Computer Information Systems,0,1,1,1,0,P
3120,Queens,18.57831314216356,2.115057504274893,13.425232185465553,Computer Information Systems,0,0,0,0,0,P
3121,Queens,22.508610878268,2.136710135324461,9.661589116454117,Computer Information Systems,0,0,1,0,1,P
3122,Manhattan,22.88109662445997,3.2765939928009526,-2.061308103663409,Computer Information Systems,0,1,0,1,1,P
3123,Brooklyn,17.285759607338434,3.3378208628367325,11.946452937095316,Computer Information Systems,1,1,1,1,1,P
3124,Brooklyn,21.94263661697913,4.093746223399934,2.502737702920668,Computer Information Systems,1,0,1,1,1,P
3125,Brooklyn,26.568465095286104,3.8025374738193256,8.635257593253698,Computer Science,0,1,1,1,1,P
3126,Manhattan,23.725700690464276,3.9280443216894954,3.620243594258705,Computer Information Systems,0,1,1,1,1,P
3127,Outside NYC,19.300467839023817,3.1588799190138395,3.1010085397588996,Computer Information Systems,1,0,0,1,1,P
3128,Brooklyn,21.54200600445175,2.609348569206089,0.8212822890545395,Computer Science,1,0,0,1,0,P
3129,Outside NYC,20.98818536937738,3.6651799289295206,3.378135480842169,Computer Science,0,1,0,1,0,P
3130,Outside NYC,21.168869206821103,5.278448127802866,11.687323611119776,Computer Science,0,1,0,1,1,P
3131,Outside NYC,23.79225794126244,2.2137521439654932,4.667273120137669,Computer Information Systems,0,0,1,1,0,P
3132,Queens,18.793053619943024,2.573094728801605,5.001748432064762,Computer Information Systems,1,0,1,1,0,P
3133,Staten Island,21.01381847850049,4.041872373360692,-0.5827737685179635,Computer Information Systems,1,1,0,0,0,P
3134,Queens,20.725233341365552,3.0477827826751884,12.420677473122105,Computer Science,1,0,1,1,1,P
3135,Outside NYC,22.260543402265725,3.226970860343389,11.572322090606391,Computer Information Systems,1,0,1,1,1,P
3136,Outside NYC,21.651136505115502,3.1083210508144345,-6.761473023086348,Computer Information Systems,0,0,0,0,1,P
3137,Outside NYC,22.755948382809787,3.9880445858670397,6.304329905019394,Computer Information Systems,1,1,1,1,1,P
3138,Queens,26.70960416036424,3.2318812000680968,10.373152334239592,Computer Information Systems,0,1,0,1,0,P
3139,Bronx,26.21768259037565,3.831869207081374,12.568926452057728,Computer Information Systems,0,1,1,0,0,P
3140,Manhattan,16.787159819867114,2.9838276446184553,4.051166881982244,Computer Information Systems,0,1,0,0,0,P
3141,Brooklyn,25.895692856537266,2.683541470134059,2.2812673553179326,Computer Science,1,1,1,0,0,P
3142,Outside NYC,24.71294782671844,2.6953142486040216,5.209933354535164,Computer Information Systems,1,1,0,1,0,P
3143,Manhattan,21.130104894024278,2.9646268974349983,0.09008010579150927,Computer Information Systems,1,0,1,1,0,P
3144,Bronx,23.80944010690541,3.6695037711595306,6.094847074711818,Computer Information Systems,1,1,0,0,1,P
3145,Manhattan,20.61037038999525,2.9162886932671497,1.67897427314964,Computer Information Systems,1,1,1,1,1,P
3146,Staten Island,26.293629146568698,2.942565396316914,3.5013354883930154,Computer Information Systems,0,0,1,1,0,P
3147,Outside NYC,25.394233480601052,2.616094366621378,4.80038585329391,Computer Information Systems,0,1,1,0,1,P
3148,Queens,23.951875290199606,2.835961130493276,0.3037872536018753,Computer Information Systems,1,1,0,1,1,P
3149,Brooklyn,29.256897825430713,2.387282209435118,3.4268020569462467,Computer Information Systems,1,1,1,1,0,P
3150,Bronx,26.129659713575567,3.3935752244322703,22.81378856231457,Computer Information Systems,1,1,1,0,0,P
3151,Staten Island,21.98793221569781,1.7834018556748799,3.8431611306807554,Computer Information Systems,0,1,1,1,0,P
3152,Queens,21.930072253326024,2.9752346443767506,3.3732168876037623,Computer Science,1,1,1,0,1,P
3153,Brooklyn,26.489426324030163,3.2371505571603385,3.373686027922777,Computer Information Systems,1,0,0,1,0,P
3154,Brooklyn,25.556027774264845,2.986320220361214,3.797801164994134,Computer Science,1,0,1,1,0,P
3155,Outside NYC,19.74532744953393,4.765608463683804,12.361424652980542,Computer Information Systems,0,1,1,0,1,P
3156,Outside NYC,23.28134053036189,3.831166075304667,4.4537826177259685,Computer Science,1,1,1,1,0,P
3157,Bronx,22.87862255886384,2.3163448697547664,3.8804574083691334,Computer Science,0,1,1,1,1,P
3158,Outside NYC,28.6562820347333,3.4516931873723395,18.658866373711696,Computer Information Systems,1,0,1,0,0,P
3159,Outside NYC,19.58355679342722,2.229439303523692,11.173564191144585,Computer Information Systems,0,1,1,1,0,P
3160,Outside NYC,25.90819777416805,2.307685981998553,0.3313500185500473,Computer Information Systems,1,0,1,1,1,P
3161,Outside NYC,29.742082589369357,3.7526908436221413,3.5339574848869755,Computer Information Systems,1,1,1,1,1,P
3162,Bronx,17.647430819679677,2.5880594757143554,2.4567804039958636,Computer Information Systems,1,1,1,1,1,P
3163,Outside NYC,25.974569679202148,3.252447036948167,3.796959942311734,Computer Science,1,0,1,0,1,P
3164,Outside NYC,35.58639705045934,2.8979849891953546,4.915241318874401,Computer Information Systems,0,1,1,1,0,P
3165,Queens,23.694637224834942,3.931645022947109,13.90253775867152,Computer Information Systems,1,1,1,1,0,P
3166,Bronx,27.8134546249776,3.01445233683515,0.7628243899487881,Computer Information Systems,0,0,1,0,0,P
3167,Manhattan,26.75900024129257,2.929394553986687,7.439644413869353,Computer Information Systems,1,1,1,1,0,P
3168,Brooklyn,19.450904078705,3.3596651762798055,0.9407275541664415,Computer Information Systems,1,0,1,0,0,P
3169,Brooklyn,20.17970458923013,2.6561095258988874,10.170919786107468,Computer Information Systems,1,0,1,1,1,P
3170,Brooklyn,21.700152029835632,3.392962084076934,7.442825732523228,Computer Information Systems,0,1,0,1,1,P
3171,Brooklyn,23.700101610893434,2.998543717560547,16.24176856336215,Computer Science,1,1,0,1,1,P
3172,Manhattan,23.960411621064033,3.285472426786996,4.18338913998363,Computer Information Systems,1,0,0,0,1,P
3173,Outside NYC,24.99101527186943,2.9609912560180685,9.102158446467474,Computer Information Systems,1,1,0,0,0,P
3174,Brooklyn,25.762379581481827,2.685788692103753,5.048686495317722,Computer Science,1,1,1,0,0,P
3175,Outside NYC,25.88296248953834,2.7731391332071427,4.879648030683306,Computer Information Systems,0,0,1,1,0,P
3176,Bronx,24.73796566023389,2.8403012904662646,2.2344023240321715,Computer Information Systems,1,1,1,1,0,P
3177,Queens,24.339328506262856,2.2915144487282513,-0.8659722338331015,Computer Information Systems,1,1,1,1,1,P
3178,Outside NYC,21.33732561175445,3.2743018944667925,9.60909477898808,Computer Information Systems,0,1,1,1,1,P
3179,Queens,28.669064813916492,3.559233236642365,12.055691676322352,Computer Information Systems,1,1,1,0,0,P
3180,Queens,23.788297832636452,3.6293974312708803,6.905299902800168,Computer Information Systems,1,1,1,1,0,P
3181,Brooklyn,29.34890593097462,3.276073023847221,6.5930421805164325,Computer Information Systems,0,0,1,1,0,P
3182,Outside NYC,21.714662737371327,2.942565866090001,8.796726651546622,Computer Information Systems,0,1,0,0,1,P
3183,Manhattan,21.30913180656118,2.0693053775868195,9.36659206626166,Computer Information Systems,1,0,1,1,0,P
3184,Outside NYC,24.111770304835602,3.8458489455293634,-1.6134884427389835,Computer Science,0,1,1,1,0,P
3185,Queens,21.805341378282556,2.973114401152914,9.18531071885386,Computer Information Systems,1,0,1,0,1,P
3186,Outside NYC,23.317485652523754,3.9341108210134106,13.215866085592502,Computer Science,1,1,0,1,1,P
3187,Outside NYC,19.718332447176312,1.4924617598701775,4.379867961942763,Computer Information Systems,1,1,1,0,0,P
3188,Bronx,22.438828052731804,1.7440011124243258,-2.859574938480071,Computer Information Systems,1,1,0,0,0,P
3189,Bronx,24.150439296370244,3.1740670545412932,6.726890939164501,Computer Information Systems,0,1,1,1,0,P
3190,Outside NYC,27.51011874696715,2.838792892407703,-3.0415374095896297,Computer Science,1,1,1,0,1,P
3191,Queens,16.75004771423471,1.6790993981766957,1.8234549311649229,Computer Information Systems,1,1,0,1,0,P
3192,Manhattan,26.504583791590576,3.3293622623531745,8.795856922202463,Computer Information Systems,1,1,0,0,1,P
3193,Queens,26.00584660028928,3.206230569036365,0.6732527888075657,Computer Information Systems,1,1,0,1,1,P
3194,Outside NYC,28.921512734508514,3.714656447135084,6.512231173479808,Computer Information Systems,1,1,0,1,1,P
3195,Outside NYC,26.851631111245524,3.3240211900526027,8.867829636644794,Computer Information Systems,0,1,1,0,0,P
3196,Outside NYC,21.883143283484895,2.045236442713032,1.5186699252739029,Computer Science,0,0,1,0,0,P
3197,Outside NYC,27.320785033549765,3.3517756168540283,8.383762872176375,Computer Information Systems,1,1,1,0,0,P
3198,Queens,18.163053690964563,3.3733467961162735,0.17089237634724075,Computer Information Systems,0,1,0,0,0,P
3199,Brooklyn,30.172128330016747,3.388913958247661,7.776501148191762,Computer Information Systems,0,0,1,1,0,P
3200,Outside NYC,25.763877816592327,3.08079244904251,4.647662021333657,Computer Science,0,1,0,1,1,P
3201,Bronx,23.071133801531747,3.9601941963436627,1.6879499609378472,Computer Information Systems,1,1,1,1,0,P
3202,Bronx,21.93676507921585,2.7824645888559094,9.558838071048065,Computer Science,1,1,1,1,0,P
3203,Outside NYC,14.005400955124307,2.9599107378408136,6.0817081878467425,Computer Information Systems,1,1,1,1,1,P
3204,Brooklyn,22.535437882492975,3.2200512147251197,5.575269171400645,Computer Science,0,1,1,1,1,P
3205,Queens,21.61642455597208,2.8834577406948867,1.1086255927045716,Computer Information Systems,1,1,1,1,0,P
3206,Manhattan,17.91397539053574,3.3942398464826202,10.024612532312107,Computer Science,1,0,1,0,1,P
3207,Outside NYC,23.199463220917835,2.852026045484677,8.224856444689612,Computer Information Systems,1,0,1,1,0,P
3208,Queens,27.163921340522972,2.6923433060756627,4.5489824995134835,Computer Information Systems,0,0,1,1,0,P
3209,Outside NYC,27.358689391894348,2.8467797071420864,9.680886582686803,Computer Information Systems,0,1,1,1,0,P
3210,Bronx,17.701290407930934,2.543555237062759,7.604483694885271,Computer Information Systems,1,1,1,1,1,P
3211,Brooklyn,23.411667958238453,3.0225878442387972,-0.6944588865160313,Computer Information Systems,1,1,1,1,0,P
3212,Brooklyn,27.25719100365483,3.216997711705525,6.127373042045106,Computer Science,1,1,1,0,1,P
3213,Bronx,21.34048793123491,3.309035044585458,-0.12176748714358254,Computer Information Systems,1,1,0,1,0,P
3214,Outside NYC,19.35951346523813,3.21994346820791,2.728150703566213,Computer Information Systems,1,0,1,0,0,P
3215,Brooklyn,21.96634992549974,2.3143283556972776,14.57992256743888,Computer Information Systems,1,0,1,1,0,P
3216,Outside NYC,28.50631044502901,2.620984876167174,6.544731474353919,Computer Information Systems,0,1,0,1,1,P
3217,Queens,23.295332374458418,3.128492059210549,10.798259334348494,Computer Science,1,0,0,0,0,P
3218,Bronx,23.13980719691279,3.2317551600053993,8.4606588429236,Computer Science,1,1,1,0,0,P
3219,Bronx,11.831170596704562,2.307493049643446,3.3496509007316355,Computer Information Systems,0,1,0,1,1,P
3220,Outside NYC,21.41138844193248,3.233626923485533,4.18160561270868,Computer Science,1,0,1,0,1,P
3221,Outside NYC,19.22914189307508,3.0233527502630104,7.37714644353022,Computer Science,1,0,1,1,1,P
3222,Brooklyn,21.313819349981507,1.9239367343296918,3.7436032720349695,Computer Information Systems,0,1,0,0,0,P
3223,Outside NYC,26.61600569870414,2.836153073899027,2.04325254767393,Computer Information Systems,1,1,1,1,1,P
3224,Outside NYC,23.76464333119577,2.516237402373542,7.745202461445219,Computer Information Systems,1,1,1,0,0,P
3225,Brooklyn,20.313398928559312,2.9024095339253586,9.547961873502635,Computer Information Systems,1,1,0,1,0,P
3226,Brooklyn,23.763884858357613,2.4721878028894446,4.031145859500983,Computer Information Systems,1,1,1,0,0,P
3227,Outside NYC,20.190538088197805,3.6184346484532846,4.945193159847149,Computer Information Systems,1,1,1,1,0,P
3228,Brooklyn,24.162085985525035,3.3899543495563047,6.023237180182599,Computer Science,1,1,1,0,0,P
3229,Outside NYC,23.45503741961137,3.207357631317004,-1.9556733391610335,Computer Information Systems,0,1,0,0,1,P
3230,Outside NYC,26.600828635735073,3.057741088623415,20.941695534055803,Computer Information Systems,0,1,0,1,0,P
3231,Outside NYC,30.70807594721924,3.852785755707198,-2.613096159932935,Computer Information Systems,1,1,1,1,0,P
3232,Outside NYC,25.76778395294329,3.71558331025239,-2.4394323749350324,Computer Science,1,1,0,1,1,P
3233,Outside NYC,22.84286668412894,2.59324056327328,8.17533134541382,Computer Information Systems,1,0,1,0,1,P
3234,Brooklyn,24.367340496648193,3.8007586001102003,8.336518127808596,Computer Science,1,1,0,1,1,P
3235,Outside NYC,17.664671407818517,3.2496329412330365,10.502291565312907,Computer Information Systems,1,1,1,1,0,P
3236,Manhattan,19.91923937233163,3.7333647204739067,2.0791175914519076,Computer Information Systems,1,1,1,1,1,P
3237,Outside NYC,19.859244725703732,3.9972564698037956,3.832260084898498,Computer Information Systems,1,1,1,1,0,P
3238,Staten Island,21.366556104821154,2.729253596979868,4.921597966669729,Computer Science,1,1,1,0,1,P
3239,Outside NYC,24.05546405480747,2.980541731474572,8.170824262130635,Computer Science,1,1,1,1,0,P
3240,Manhattan,24.13767792503109,2.3105606732876764,1.0623692638876845,Computer Science,1,1,0,0,1,P
3241,Bronx,25.752108572005376,3.4046142344959005,4.610036810976352,Computer Information Systems,1,0,0,1,0,P
3242,Outside NYC,30.367652378461848,3.697667543414275,5.773180554216087,Computer Information Systems,1,0,1,0,1,P
3243,Manhattan,21.952741785512433,3.7416614253225107,-0.060378662166176156,Computer Information Systems,1,1,0,1,1,P
3244,Brooklyn,26.476152204097907,4.640967387043195,8.13248981080366,Computer Information Systems,1,1,1,1,1,P
3245,Outside NYC,16.707736153956724,3.6111696971309963,3.382676568998499,Computer Information Systems,0,1,1,0,0,P
3246,Manhattan,18.67459726150135,3.255753985157052,-1.048496816758151,Computer Science,0,1,1,1,0,P
3247,Brooklyn,17.437875633495985,3.6386085197298814,3.535432952333689,Computer Science,0,1,0,1,0,P
3248,Outside NYC,19.864994830841525,3.1316451955010796,-0.34293562869869554,Computer Information Systems,1,1,1,1,0,P
3249,Brooklyn,16.449611183922286,2.8099469281579808,8.536684997931953,Computer Information Systems,1,0,0,1,0,P
3250,Outside NYC,28.900167976478304,3.1068507273998947,5.580206755940889,Computer Science,1,1,1,1,0,P
3251,Staten Island,22.339855340937767,3.9607008556446166,15.130622405968559,Computer Information Systems,0,1,0,1,1,P
3252,Outside NYC,26.163546060922656,3.799763130822706,4.205206499052086,Computer Information Systems,0,0,1,1,1,P
3253,Brooklyn,27.530289531527245,2.9392996607614594,0.3537203342540316,Computer Information Systems,0,1,1,1,0,P
3254,Queens,27.359595849202275,3.024240895854899,8.153580241651586,Computer Information Systems,0,1,1,0,0,P
3255,Outside NYC,21.981403122554426,3.5772852567884543,9.882653763788813,Computer Science,0,0,0,1,1,P
3256,Outside NYC,17.338408748055272,3.134924717553389,6.366538938199634,Computer Science,0,1,1,0,0,P
3257,Outside NYC,26.27982750516464,2.8439130041865703,-0.021325368295332936,Computer Science,1,1,1,1,1,P
3258,Outside NYC,21.676488009412903,3.569682749211671,3.3365765794151687,Computer Information Systems,1,0,1,0,0,P
3259,Outside NYC,20.797494160673658,2.4555119865879984,14.49317866715249,Computer Science,1,0,0,1,1,P
3260,Outside NYC,19.825576962356365,2.49295943232192,11.229479515202414,Computer Information Systems,0,1,0,1,0,P
3261,Outside NYC,28.395220907496466,3.176391878837907,12.040770900915545,Computer Information Systems,0,1,1,1,1,P
3262,Outside NYC,20.681032496811653,3.738642918823401,10.122760913361905,Computer Information Systems,1,0,0,1,0,P
3263,Brooklyn,18.41043728309157,2.5834268276803645,2.7062879829382025,Computer Information Systems,0,1,0,0,1,P
3264,Staten Island,21.68738092824582,3.551880990915484,0.12327509909310486,Computer Information Systems,1,1,0,1,1,P
3265,Outside NYC,21.92848445402015,2.797600707472015,10.482573427475266,Computer Information Systems,0,1,1,1,1,P
3266,Manhattan,23.172024063217744,3.382814372059465,9.332478411403084,Computer Information Systems,1,1,0,0,1,P
3267,Brooklyn,23.562392601245335,3.477088565127461,10.344331188807486,Computer Science,1,1,1,1,0,P
3268,Queens,23.232903056954868,2.216525110468333,9.108525956847473,Computer Science,1,1,0,0,0,P
3269,Manhattan,21.80422153276854,3.0791708747147704,7.8650500484418915,Computer Information Systems,1,0,1,0,1,P
3270,Brooklyn,26.914540976190256,3.1179121298729093,4.2675404187477906,Computer Science,1,0,1,1,0,P
3271,Outside NYC,20.431827288911204,2.3591348513391432,8.776517861017771,Computer Science,1,0,0,0,0,P
3272,Bronx,21.835304856784663,3.6354553879876,5.224616819062192,Computer Information Systems,1,0,0,0,1,P
3273,Queens,20.87516322710422,2.907998678604272,3.460461992408898,Computer Information Systems,1,1,1,1,0,P
3274,Bronx,20.869523684051632,2.4017367872239688,2.0877600970971892,Computer Information Systems,1,1,1,1,1,P
3275,Outside NYC,20.816832458183736,3.6942763438105466,9.650730734359055,Computer Information Systems,1,1,1,0,0,P
3276,Manhattan,21.578005390822614,3.0128066018192206,5.543988499729936,Computer Information Systems,1,1,1,1,0,P
3277,Brooklyn,26.612751540219467,3.1151132181097134,7.644270802478697,Computer Information Systems,1,1,0,0,1,P
3278,Queens,17.409053953571284,3.607233937320335,6.570018950858494,Computer Information Systems,1,0,1,0,1,P
3279,Outside NYC,19.06581079843292,2.3231519381531704,14.122258630929412,Computer Information Systems,1,0,1,0,1,P
3280,Outside NYC,16.48010844560705,2.748439429715397,14.421402109552286,Computer Information Systems,1,1,1,0,1,P
3281,Queens,25.6277217920516,2.2143921025057356,8.723606701449548,Computer Information Systems,1,0,1,1,1,P
3282,Brooklyn,18.724097542766245,2.0074010110321234,0.5893565812963342,Computer Information Systems,1,1,1,1,0,P
3283,Staten Island,17.198967825603777,1.8523049344869396,1.2676132605957529,Computer Information Systems,1,0,0,0,1,P
3284,Brooklyn,22.603332183897358,4.294038564085438,8.333259952122416,Computer Information Systems,1,1,1,1,0,P
3285,Manhattan,26.23300833290521,3.4577381685295183,1.4237602240401452,Computer Science,0,1,1,1,0,P
3286,Outside NYC,27.70420142249446,2.494881686265648,-0.8152200385869888,Computer Information Systems,0,1,0,1,1,P
