index,borough,age,gpa,days_missed,major,full_time,freshman,first_generation,employed,pell_grant,grade
5206,Manhattan,31.846481293332825,2.9792147140614627,0,Computer Information Systems,1,1,0,1,0,P
3160,Bronx,29.569283093837956,3.936646636785533,2,Computer Information Systems,0,0,1,0,0,P
15711,Outside NYC,14.641793996417952,3.341135374026771,15,Computer Science,1,1,1,0,1,DWFI
10534,Queens,24.201431132743387,2.954743994299682,6,Computer Information Systems,1,1,0,0,0,P
1928,Outside NYC,23.387110648015756,3.168045599088801,5,Computer Information Systems,1,0,0,0,0,P
15752,Queens,15.661021164769611,2.9891731015952434,22,Computer Information Systems,0,0,0,1,1,DWFI
6537,Bronx,26.063326210383863,3.3852575364701005,9,Computer Information Systems,0,1,1,0,1,DWFI
16016,Manhattan,18.60062477845178,2.9100183598986487,16,Computer Information Systems,1,1,1,1,0,DWFI
13934,Brooklyn,22.036987765892587,3.356650777047036,1,Computer Information Systems,1,1,0,0,1,P
14962,Outside NYC,22.35645782861771,3.015574571799383,15,Computer Science,0,1,1,0,1,DWFI
5897,Queens,27.93151812577405,3.58881659216106,5,Computer Information Systems,1,1,0,1,0,P
16476,Brooklyn,18.50761932646448,2.877795485505954,11,Computer Information Systems,1,1,1,1,0,DWFI
9632,Outside NYC,23.862814528065137,2.9462588263118508,15,Computer Science,0,1,1,1,0,DWFI
6051,Outside NYC,22.85188850145276,2.8586884190495363,4,Computer Information Systems,0,0,0,0,0,P
4463,Outside NYC,22.444824796203715,2.8525850666191817,6,Computer Information Systems,0,1,1,1,1,DWFI
14787,Outside NYC,18.922344124175577,3.4498382692013743,2,Computer Science,0,1,1,0,0,P
15133,Outside NYC,20.60334112338206,2.539312470244626,13,Computer Information Systems,1,1,1,1,1,DWFI
2245,Brooklyn,22.87689506123625,2.947632736668357,2,Computer Information Systems,1,0,1,0,1,P
9932,Staten Island,16.98802510465174,3.213119818654734,13,Computer Science,1,1,1,1,1,DWFI
7103,Queens,25.103941403533685,2.937177848035605,3,Computer Science,1,0,1,1,1,P
7026,Outside NYC,20.1742214138912,2.9403772896982323,21,Computer Information Systems,1,1,1,1,1,DWFI
16802,Queens,25.3518013787544,3.1784304336658886,2,Computer Science,1,0,0,1,1,P
13865,Outside NYC,22.713011204026703,2.4889420451399222,1,Computer Information Systems,0,1,1,1,1,P
662,Outside NYC,28.270798040418477,2.0184534968834686,3,Computer Information Systems,0,0,0,1,0,P
6749,Brooklyn,25.53625982840193,2.44896568010516,16,Computer Science,1,0,0,1,0,DWFI
7471,Manhattan,24.975636535322256,2.3982482924555595,2,Computer Information Systems,0,1,0,0,0,P
8708,Manhattan,27.813995846693054,2.141293610966087,15,Computer Science,1,0,1,1,1,DWFI
4372,Outside NYC,23.0210339362668,3.674601745924469,1,Computer Science,0,1,0,1,1,P
8758,Outside NYC,18.79936317295977,2.0976957343620333,19,Computer Information Systems,1,1,1,1,0,DWFI
14578,Queens,19.95486954455196,1.7739559128795177,20,Computer Information Systems,1,1,1,1,1,DWFI
15143,Manhattan,22.159459495530943,2.931393326677385,12,Computer Information Systems,0,1,0,1,0,DWFI
15519,Brooklyn,19.959624484832226,2.7353625023176007,16,Computer Science,1,1,1,1,0,DWFI
9903,Outside NYC,21.40128302946278,2.861249124773545,2,Computer Information Systems,1,0,1,1,1,P
12370,Bronx,20.34422861103336,2.6823049874231617,11,Computer Information Systems,1,1,0,1,0,DWFI
204,Outside NYC,24.083008092995343,2.458526861881367,1,Computer Information Systems,1,1,1,0,0,P
5435,Brooklyn,23.93519276766543,2.232478729141964,2,Computer Information Systems,1,1,1,0,1,P
16330,Queens,26.49457044316273,2.704401774278219,15,Computer Science,0,0,0,0,1,DWFI
3413,Outside NYC,21.24738364285685,3.255594066773587,5,Computer Information Systems,1,1,0,1,1,P
6358,Manhattan,11.101283103970388,2.6841719348677757,12,Computer Information Systems,0,1,1,1,1,DWFI
6925,Manhattan,14.389188523389397,3.79781243850752,12,Computer Information Systems,1,0,0,1,1,DWFI
12676,Outside NYC,24.629000278722675,2.71298490856843,4,Computer Science,0,1,1,0,1,P
4904,Brooklyn,20.02751344925003,2.9286981467400044,3,Computer Information Systems,1,1,0,0,0,P
8126,Manhattan,26.238645593154345,3.2221319831755104,4,Computer Science,0,0,0,1,1,P
16883,Outside NYC,14.025230894747953,2.605800217556681,16,Computer Information Systems,0,0,1,1,1,DWFI
10821,Outside NYC,20.287736857456824,3.0616062604366867,13,Computer Information Systems,1,1,0,0,1,DWFI
219,Outside NYC,21.823115048493307,2.921803822188555,4,Computer Information Systems,1,1,1,0,1,P
3182,Outside NYC,24.193994728767358,3.330761821100989,5,Computer Information Systems,0,1,0,0,0,P
5123,Bronx,23.53395477352139,3.023217980646125,18,Computer Science,1,1,1,1,0,DWFI
9378,Outside NYC,25.29662075460617,2.5823870626100947,7,Computer Science,1,0,1,1,1,P
7969,Queens,25.154708547373996,3.1964655498834187,3,Computer Information Systems,1,1,1,0,0,P
16894,Outside NYC,25.21579479473021,3.2816670848173204,2,Computer Information Systems,1,0,1,0,0,P
9331,Outside NYC,18.53233129806189,3.499353533523111,3,Computer Information Systems,0,1,1,1,0,P
163,Outside NYC,23.009094190154865,3.676588060332679,3,Computer Information Systems,1,0,1,1,0,P
6597,Outside NYC,23.49339084574864,2.8315217043617884,22,Computer Science,1,1,0,1,1,DWFI
8832,Manhattan,23.79309216503267,3.1404431138543463,2,Computer Information Systems,1,1,1,0,0,P
5499,Outside NYC,27.720121401603624,3.224421927190907,14,Computer Science,0,1,1,0,1,DWFI
1821,Manhattan,17.40360885223093,2.7371403354384256,1,Computer Information Systems,1,0,1,0,1,P
10926,Outside NYC,16.94440993708492,1.744637759126175,19,Computer Science,1,1,1,1,0,DWFI
13854,Queens,21.392034619638213,3.1909994321434274,6,Computer Information Systems,1,1,0,0,0,P
2136,Manhattan,26.4780003059431,2.9273179954457387,3,Computer Information Systems,0,1,1,0,1,P
5145,Queens,20.838470475796345,3.18878380550968,1,Computer Information Systems,1,1,0,1,1,P
10837,Bronx,30.785508191111436,2.7622869714500795,14,Computer Information Systems,1,1,0,1,0,DWFI
1008,Queens,19.905583270397624,2.539365291463275,2,Computer Information Systems,0,1,1,0,1,P
12597,Outside NYC,18.516540946500665,3.4395181880928143,15,Computer Information Systems,0,0,1,1,1,DWFI
508,Brooklyn,29.14104971263624,3.265267379654504,2,Computer Science,1,0,1,1,0,P
9269,Queens,24.0179598235508,2.860077293717584,8,Computer Science,0,1,1,0,1,DWFI
11536,Manhattan,17.18793042491752,2.9654533919962804,14,Computer Science,0,0,1,1,1,DWFI
5280,Outside NYC,21.9860107339358,2.715302229088728,1,Computer Science,1,1,0,0,1,P
9506,Outside NYC,22.28003001759905,2.456957483480207,15,Computer Information Systems,0,1,1,1,0,DWFI
11501,Queens,19.585408869561338,2.503194552459877,18,Computer Information Systems,0,0,1,1,1,DWFI
1246,Queens,23.289587111763375,2.6915293298238363,2,Computer Science,1,0,1,1,1,P
13627,Outside NYC,21.652931752731075,3.054778712560289,13,Computer Science,1,1,1,1,0,DWFI
9303,Outside NYC,13.861878139635406,3.318342510959148,11,Computer Science,0,1,1,1,1,DWFI
1853,Queens,20.604626627394797,3.7966171472026926,4,Computer Information Systems,1,1,1,0,1,P
15732,Outside NYC,15.85250993565488,3.5192167710517914,14,Computer Science,1,1,1,0,0,DWFI
103,Brooklyn,22.39355818971036,3.438181683735655,1,Computer Information Systems,1,1,0,1,1,P
12550,Outside NYC,22.88179158849604,2.7013837499441866,1,Computer Information Systems,1,1,1,0,0,P
15278,Brooklyn,19.9260451732829,2.267717441964453,3,Computer Science,1,1,0,0,1,P
8369,Queens,20.239056305732568,2.809443754645512,16,Computer Information Systems,0,1,1,1,0,DWFI
4884,Outside NYC,25.91491075340885,2.678849424742229,3,Computer Information Systems,1,0,0,1,0,P
16009,Brooklyn,19.308362109856635,3.35343820136411,12,Computer Science,1,0,1,1,1,DWFI
13599,Outside NYC,19.159550451979783,3.188527869904977,1,Computer Information Systems,0,1,0,0,0,P
16481,Outside NYC,29.4842883324186,3.4583684631596814,3,Computer Science,0,0,1,0,0,P
1836,Brooklyn,26.701245788367096,2.424781504664424,3,Computer Information Systems,1,1,1,0,0,P
6917,Outside NYC,26.573819675292143,3.5813743456803917,14,Computer Information Systems,1,1,1,1,0,DWFI
440,Queens,24.477346877838684,2.1899737985240586,4,Computer Information Systems,0,0,0,0,0,P
4403,Outside NYC,24.081491975915227,2.848908130526473,11,Computer Science,1,1,0,1,1,DWFI
3728,Brooklyn,24.15104096730454,3.6689260956038954,5,Computer Information Systems,1,1,1,0,0,P
16368,Outside NYC,26.23158977848881,2.063170752277681,7,Computer Information Systems,1,1,1,1,1,DWFI
561,Outside NYC,16.763961566616217,2.4512675526299663,1,Computer Information Systems,1,1,1,0,1,P
14422,Outside NYC,26.421044781113352,3.56722534055209,6,Computer Science,1,1,0,1,1,P
1465,Brooklyn,22.18802141332945,3.3416402100380336,2,Computer Information Systems,0,1,1,1,1,P
14561,Bronx,17.399379561700837,2.768926143881608,1,Computer Information Systems,1,0,1,0,0,P
15345,Queens,26.312852793576766,2.9770838855644364,5,Computer Science,1,1,0,0,1,P
15193,Manhattan,21.041650476257526,3.429923350637408,1,Computer Information Systems,1,0,1,0,0,P
10585,Outside NYC,26.57174919366105,3.6404813243949112,3,Computer Information Systems,1,0,1,0,1,P
16403,Manhattan,23.83566017454124,2.6295696187526976,14,Computer Information Systems,0,0,0,1,1,DWFI
1302,Brooklyn,23.67867942749277,2.582966625922372,4,Computer Information Systems,1,1,0,0,1,P
2831,Brooklyn,28.33527382336729,3.4257368424369905,1,Computer Information Systems,1,0,1,1,0,P
8217,Brooklyn,26.187722616076872,3.108640969149058,11,Computer Science,1,1,1,1,1,DWFI
8986,Outside NYC,24.7863130307482,2.458726892169574,16,Computer Information Systems,0,1,1,1,0,DWFI
10617,Outside NYC,20.66378935851816,2.558789237898193,7,Computer Information Systems,1,1,0,1,1,DWFI
3766,Brooklyn,27.251177622963265,3.2008972087881804,2,Computer Information Systems,0,1,1,0,1,P
15118,Outside NYC,20.46885538967201,3.199139754821422,4,Computer Information Systems,1,1,1,0,0,P
14530,Manhattan,18.878969163324825,2.50414065138874,4,Computer Information Systems,0,0,1,0,0,P
1306,Manhattan,17.188757558115505,2.5424678910641387,2,Computer Science,1,1,0,1,0,P
11185,Outside NYC,19.276132090191965,3.103397250743473,13,Computer Information Systems,1,1,0,1,1,DWFI
14778,Manhattan,22.865590929776467,2.3446759666847994,9,Computer Information Systems,0,1,0,0,1,DWFI
493,Queens,23.28364225302898,2.3839572363191475,4,Computer Information Systems,1,1,0,0,1,P
16673,Manhattan,23.58156932186497,3.145097950888572,15,Computer Science,1,1,0,1,1,DWFI
15657,Bronx,16.736275695465608,2.670877548364592,14,Computer Science,1,1,1,1,1,DWFI
15137,Bronx,17.356201133211442,2.69464870156607,5,Computer Information Systems,1,1,0,1,0,P
10745,Outside NYC,26.78351714645404,3.300438414957372,5,Computer Information Systems,0,0,1,1,0,P
3711,Brooklyn,20.62664583092497,3.284121070292777,5,Computer Information Systems,1,0,0,0,0,P
6380,Queens,27.56178182215079,3.066729974463801,0,Computer Information Systems,0,1,1,0,1,P
11822,Manhattan,28.351252625833027,2.913301983729463,22,Computer Science,0,1,0,1,1,DWFI
6783,Outside NYC,19.116639005616488,2.642408192328526,11,Computer Science,1,1,1,1,1,DWFI
6571,Queens,15.003922167551863,2.933678697273054,14,Computer Information Systems,1,1,1,1,1,DWFI
6792,Brooklyn,21.293251190360483,2.7880240896604143,14,Computer Information Systems,0,1,0,1,1,DWFI
14613,Brooklyn,24.89430385730148,3.3469964539935755,2,Computer Information Systems,1,0,0,1,0,P
14282,Brooklyn,17.758051462284897,2.732181981371829,10,Computer Science,0,1,0,1,1,DWFI
10508,Queens,24.57873344895218,3.3586693175667364,17,Computer Information Systems,0,1,1,1,1,DWFI
8783,Outside NYC,19.23799245941712,3.3742670252000733,13,Computer Information Systems,0,0,1,0,0,DWFI
15325,Outside NYC,21.91173916632639,3.432891300298912,3,Computer Information Systems,1,1,1,0,0,P
10115,Queens,24.06466488703846,2.896362402342703,2,Computer Information Systems,0,0,1,1,1,P
7607,Brooklyn,27.57268932760138,1.5859990002754891,15,Computer Science,0,0,1,1,0,DWFI
13054,Outside NYC,21.42281743905048,2.4524053608025964,22,Computer Information Systems,1,1,1,0,1,DWFI
14518,Outside NYC,25.00837615264547,1.712039040883681,24,Computer Information Systems,1,1,1,1,1,DWFI
4818,Bronx,35.010413053870536,2.1414385480127494,11,Computer Information Systems,0,1,1,1,1,DWFI
4657,Outside NYC,26.81547021597684,1.9104401132683764,11,Computer Science,1,0,0,1,0,DWFI
16475,Outside NYC,21.12128236338301,1.935188458511509,12,Computer Information Systems,0,0,1,1,0,DWFI
10737,Queens,20.64181158775103,3.350514656448696,21,Computer Information Systems,0,1,1,0,1,DWFI
15694,Queens,26.176846780461734,3.107446837312453,2,Computer Information Systems,0,1,1,0,0,P
12682,Outside NYC,17.45941004595437,1.8159421755105456,10,Computer Science,1,0,1,1,0,DWFI
2428,Manhattan,23.173552005756,2.183427324953213,4,Computer Information Systems,1,0,0,0,1,P
1802,Staten Island,20.79523929532829,4.288719779846769,2,Computer Information Systems,1,1,1,0,1,P
7993,Outside NYC,28.624485257059423,3.6507759151149033,1,Computer Information Systems,1,0,0,1,1,P
11627,Outside NYC,26.77177035129407,3.0567681786563807,2,Computer Information Systems,1,1,1,0,1,P
11795,Manhattan,23.265192243,3.855958541623262,1,Computer Science,1,1,0,1,0,P
12475,Outside NYC,15.176300957453272,1.8762546733892465,28,Computer Science,1,1,1,1,1,DWFI
11493,Bronx,19.75052341356382,3.339028445222961,1,Computer Information Systems,1,1,1,0,0,P
11736,Manhattan,22.96634704201425,3.0079268216583865,5,Computer Information Systems,1,1,1,1,1,P
10807,Queens,30.225535508624084,3.445511059441715,3,Computer Science,1,1,0,1,0,P
10733,Queens,21.698167191665878,3.3021388546659685,8,Computer Science,1,1,0,1,1,DWFI
16540,Outside NYC,22.936667287766,2.8450160690979964,2,Computer Science,1,1,1,0,1,P
1250,Outside NYC,32.046656963119965,3.684482291152482,7,Computer Information Systems,1,1,1,0,1,P
13893,Bronx,22.59052070824149,3.025891796303939,5,Computer Science,1,1,1,0,0,P
2982,Outside NYC,23.49058211800784,2.885433817994629,1,Computer Information Systems,0,0,1,0,0,P
5891,Manhattan,32.304775679799775,3.3431874869588825,6,Computer Information Systems,1,1,1,0,1,P
3808,Outside NYC,23.166455655204995,2.4817023788167742,1,Computer Information Systems,0,0,1,0,1,P
6246,Bronx,14.53102829624686,3.443570272982186,16,Computer Science,1,1,1,1,1,DWFI
14170,Outside NYC,17.704641077524666,2.604506666701309,17,Computer Information Systems,0,1,0,1,0,DWFI
4652,Brooklyn,21.42606818892862,2.4546138946442744,2,Computer Information Systems,1,1,0,1,1,P
5153,Bronx,16.106977558058972,2.5252850828345776,2,Computer Science,0,0,1,0,0,P
5346,Outside NYC,16.32097962437534,3.2307118270277697,16,Computer Information Systems,1,1,0,1,0,DWFI
12927,Queens,27.042905891119933,3.090868853277734,9,Computer Information Systems,1,1,1,1,1,DWFI
6876,Outside NYC,18.28630013844862,2.635799378286244,12,Computer Information Systems,1,1,0,1,0,DWFI
15596,Outside NYC,27.540720447668903,2.924971178348286,16,Computer Science,0,1,1,1,0,DWFI
2025,Manhattan,29.514244571075288,3.005658111135625,2,Computer Science,1,1,1,0,0,P
8455,Outside NYC,14.985568280711554,3.053448376859948,2,Computer Information Systems,1,0,0,0,0,P
6652,Bronx,15.152773063631544,2.4207682831681554,20,Computer Science,0,0,1,1,1,DWFI
16387,Brooklyn,25.86217692217003,3.74841264681399,2,Computer Information Systems,1,1,0,1,1,P
13245,Manhattan,18.392088281211663,2.841340112535825,10,Computer Information Systems,0,1,1,1,0,DWFI
12332,Manhattan,15.024021527747092,2.157073834621011,16,Computer Science,1,1,0,1,1,DWFI
2530,Brooklyn,19.66368760354912,2.746374654154933,0,Computer Information Systems,0,0,1,1,1,P
8130,Brooklyn,14.11486563166569,3.340229047829204,19,Computer Science,1,0,1,1,0,DWFI
2222,Outside NYC,17.28995613645767,2.873145828467639,2,Computer Information Systems,1,1,0,1,0,P
1893,Outside NYC,24.262726822654816,3.0172500295109588,3,Computer Science,1,1,0,1,1,P
5626,Brooklyn,20.195898111102387,3.490505052081523,14,Computer Information Systems,0,0,1,1,1,DWFI
1910,Bronx,19.659376589396697,3.723811528903157,2,Computer Information Systems,0,1,0,1,0,P
8675,Outside NYC,23.578890878228552,2.5086666020412283,13,Computer Science,1,1,0,1,1,DWFI
16457,Outside NYC,21.78492351629317,2.376648537043462,13,Computer Information Systems,1,1,0,1,1,DWFI
15378,Outside NYC,23.37282376221424,2.686268815762616,4,Computer Information Systems,1,0,0,1,1,P
8161,Outside NYC,12.824856071094594,3.681183503486973,15,Computer Information Systems,0,1,1,1,1,DWFI
14395,Queens,20.57585958673413,2.2375572836052697,2,Computer Science,1,1,0,0,0,P
16653,Outside NYC,16.79794266739224,2.4277899031928256,14,Computer Information Systems,1,1,0,0,1,DWFI
15281,Outside NYC,24.11739804184913,2.2862919664516657,17,Computer Information Systems,1,1,1,1,1,DWFI
12967,Manhattan,23.133666027028884,1.935909053097865,4,Computer Information Systems,1,1,1,0,1,P
14059,Brooklyn,29.254677164581075,2.674743934563856,4,Computer Information Systems,0,1,0,1,1,P
12442,Brooklyn,22.11817894084893,3.703159791672862,5,Computer Information Systems,1,0,1,0,0,P
4077,Manhattan,22.692536968911657,3.031055195042705,3,Computer Information Systems,1,0,0,0,1,P
16065,Outside NYC,25.28687596193445,3.796061435342297,2,Computer Science,1,0,1,0,1,P
10414,Outside NYC,19.849167949956477,2.3895091468508074,17,Computer Information Systems,1,1,1,1,1,DWFI
13002,Outside NYC,23.4813290165994,3.0936855710348192,10,Computer Information Systems,1,1,1,0,1,DWFI
11941,Bronx,23.694496925669142,2.4316859712058223,15,Computer Information Systems,0,1,0,0,1,DWFI
4598,Brooklyn,21.10998881404228,2.686882487455579,17,Computer Information Systems,1,1,0,1,0,DWFI
4717,Outside NYC,26.16394977404642,3.835644394370669,3,Computer Information Systems,1,1,0,0,0,P
5169,Outside NYC,25.3399568427497,3.4619782152073,23,Computer Science,0,1,1,1,1,DWFI
16425,Brooklyn,23.008774655388866,3.2398546208094725,1,Computer Science,1,1,1,1,1,P
5467,Outside NYC,21.147905442676464,2.784153453438688,18,Computer Information Systems,0,1,1,1,0,DWFI
8067,Outside NYC,24.426551651570776,3.044850935232412,4,Computer Information Systems,0,1,1,0,0,DWFI
11461,Outside NYC,28.18850620845835,3.7593952309893406,3,Computer Information Systems,1,0,0,0,1,P
9789,Bronx,25.089673666316383,3.1985031985903776,1,Computer Science,1,0,1,0,0,P
12858,Manhattan,19.17840131362652,2.328562161631434,18,Computer Science,0,1,1,1,1,DWFI
1279,Outside NYC,22.68414064062196,3.71272708193463,4,Computer Information Systems,1,1,1,1,1,P
4160,Bronx,21.708541880611623,2.289954596464029,17,Computer Science,0,1,0,0,0,DWFI
10743,Outside NYC,22.49655241906488,2.9688330372514704,12,Computer Science,0,1,1,1,0,DWFI
3774,Bronx,25.34390401198501,3.3949526836918595,6,Computer Information Systems,0,0,0,0,0,P
10764,Brooklyn,19.82498806511637,2.197164776911931,16,Computer Information Systems,1,0,1,0,1,DWFI
4612,Bronx,14.953886234071806,3.3063110379295324,13,Computer Information Systems,1,0,0,1,0,DWFI
16850,Brooklyn,20.46044251238186,2.245405777780857,16,Computer Information Systems,1,1,1,0,1,DWFI
12282,Outside NYC,25.07638900778608,3.001756951919596,12,Computer Science,1,1,1,0,1,DWFI
10531,Staten Island,24.30756621496746,3.257937803333121,4,Computer Science,0,0,0,1,0,P
3451,Brooklyn,24.454550165324424,2.078582396728284,2,Computer Science,1,0,0,0,1,P
2061,Queens,23.59107598791892,3.672887518542827,1,Computer Science,0,1,0,1,0,P
16285,Outside NYC,25.220924439224717,2.872568239466394,3,Computer Information Systems,1,1,1,0,1,P
6637,Queens,17.61941959486581,2.4402871087263955,12,Computer Information Systems,0,1,0,1,1,DWFI
11712,Outside NYC,21.79646588486837,3.038671575351983,7,Computer Information Systems,0,1,1,0,0,P
4413,Manhattan,25.235680252946008,3.399170965011346,17,Computer Science,0,1,1,1,0,DWFI
4719,Queens,28.920444043165467,3.700598425328308,2,Computer Science,1,1,0,0,1,P
473,Manhattan,23.543233694665638,3.1412219257908065,2,Computer Information Systems,1,0,1,0,1,P
9037,Outside NYC,22.530420746164804,3.131157728606507,3,Computer Information Systems,1,0,1,1,1,P
10942,Queens,22.947566770343528,2.618822951565148,2,Computer Information Systems,1,1,0,0,0,P
13610,Outside NYC,23.82353582253593,3.783458889312552,21,Computer Science,1,1,1,1,1,DWFI
15807,Outside NYC,19.889633791873464,2.4965589494132123,11,Computer Science,1,1,1,1,1,DWFI
11850,Outside NYC,24.945492953279405,1.8403774562211896,13,Computer Science,1,1,1,1,1,DWFI
10444,Staten Island,23.995716851212297,2.360527452622504,3,Computer Information Systems,1,0,1,1,0,P
1930,Manhattan,26.2214204098523,3.241960161721986,2,Computer Science,1,0,0,0,0,P
12267,Brooklyn,27.996818274442784,3.904825798550285,2,Computer Science,1,1,0,1,1,P
8810,Brooklyn,18.02477673398273,2.325463094262464,13,Computer Information Systems,0,1,0,0,1,DWFI
8015,Bronx,24.599082655776265,2.263197413164499,12,Computer Science,1,1,1,1,1,DWFI
11923,Brooklyn,23.48193337783496,2.983930228669214,4,Computer Science,1,0,0,1,0,P
7529,Outside NYC,20.221094301002317,2.595862479234324,18,Computer Information Systems,0,1,1,1,1,DWFI
959,Outside NYC,26.754395665277848,3.1314019789955028,8,Computer Information Systems,1,1,1,1,1,P
14622,Brooklyn,12.710643930104276,2.79632239012299,12,Computer Science,1,1,1,1,0,DWFI
16953,Outside NYC,27.77707089594967,3.530346589152455,4,Computer Information Systems,0,1,1,1,1,P
10526,Outside NYC,20.131872145054867,3.4950743844015757,1,Computer Information Systems,0,1,0,0,0,P
4455,Outside NYC,19.544678045973438,3.204093027045411,20,Computer Information Systems,1,1,1,0,1,DWFI
9700,Bronx,21.121626955317183,3.4685850088861727,1,Computer Information Systems,1,1,1,0,0,P
12696,Brooklyn,22.157316840122743,2.79020781601178,15,Computer Information Systems,0,1,0,1,1,DWFI
12814,Manhattan,22.633496976256733,2.869480299708627,15,Computer Science,1,1,1,1,1,DWFI
3278,Bronx,21.305933867654257,2.539547111430402,1,Computer Information Systems,1,1,1,0,1,P
533,Brooklyn,18.358772164210983,3.035300258258624,2,Computer Information Systems,1,1,1,1,0,P
10022,Outside NYC,23.20114174377833,3.551060473062103,2,Computer Information Systems,0,0,0,1,1,P
2381,Outside NYC,29.283810522428368,3.7749940379334337,2,Computer Science,1,0,1,0,0,P
9290,Bronx,21.7814490529408,2.988371491939635,6,Computer Science,1,0,0,0,0,P
1121,Queens,30.378458831321847,3.62701854055042,5,Computer Information Systems,1,1,1,1,0,P
6604,Queens,21.20104946624676,2.951985471100897,12,Computer Information Systems,0,1,1,0,1,DWFI
8051,Manhattan,24.278518650856185,3.429105730326973,4,Computer Science,1,1,1,0,0,P
11942,Outside NYC,23.647569072603225,2.505045534010814,4,Computer Information Systems,0,0,1,0,1,P
8849,Brooklyn,19.63955985573482,2.1465690416766705,18,Computer Science,1,1,1,1,0,DWFI
3517,Outside NYC,22.510598729695435,2.608679609511047,2,Computer Information Systems,1,1,1,0,0,P
9360,Outside NYC,23.387197387276363,2.611993823941301,14,Computer Information Systems,0,1,1,1,1,DWFI
2799,Outside NYC,16.56282699156184,4.069154780255374,5,Computer Information Systems,1,0,1,1,1,P
10187,Outside NYC,25.882283118287727,3.107113296097111,5,Computer Science,1,0,0,1,1,P
884,Outside NYC,26.03141810959269,3.515096725973479,3,Computer Information Systems,0,1,1,0,0,P
11719,Queens,13.153061344392585,3.2669904502970053,8,Computer Information Systems,1,0,1,0,1,P
14793,Queens,22.67981303351712,2.5601265423914645,3,Computer Information Systems,1,0,0,0,1,P
9894,Outside NYC,22.8919150701922,2.7443002190089234,4,Computer Science,1,1,0,1,1,P
511,Brooklyn,25.58240944608624,3.0678992988640306,4,Computer Science,0,1,1,0,1,P
3161,Brooklyn,24.87788366828062,2.242361571841804,5,Computer Information Systems,1,1,1,1,0,P
7685,Outside NYC,24.051915799056903,3.4283935535786507,2,Computer Information Systems,1,0,1,0,0,P
16067,Outside NYC,26.334763547436893,1.9908386832283596,4,Computer Information Systems,1,0,0,1,0,P
12044,Brooklyn,27.563068429847657,2.7002479352262214,3,Computer Science,0,0,1,1,0,P
3375,Brooklyn,19.76397739737563,3.072814218284309,1,Computer Science,1,0,0,1,1,P
6092,Bronx,16.394454595716986,3.4561790700164465,15,Computer Science,0,1,1,0,1,DWFI
9641,Outside NYC,31.960506568674308,2.4802615622618576,3,Computer Information Systems,1,1,1,0,0,P
8550,Brooklyn,18.722789157492187,2.427184574263083,11,Computer Science,0,1,1,1,0,DWFI
2445,Outside NYC,14.5721266339903,3.0774590690335666,3,Computer Information Systems,1,1,0,0,0,P
12041,Staten Island,19.768022978021943,2.272433039513306,17,Computer Information Systems,0,1,1,1,1,DWFI
4516,Bronx,23.62896059298184,3.306786625971477,11,Computer Information Systems,0,1,1,1,0,DWFI
9654,Brooklyn,26.674266149416223,3.5369339705310505,2,Computer Information Systems,1,0,0,0,1,P
3505,Queens,21.006076146294408,3.045295202804352,2,Computer Science,1,1,1,0,0,P
14907,Staten Island,19.35874197638309,3.2498901537877702,2,Computer Information Systems,1,0,0,1,1,P
13921,Outside NYC,21.677122020469408,3.0260944165961483,10,Computer Information Systems,0,0,1,1,0,DWFI
11940,Outside NYC,18.33323467634185,2.2590702619687684,23,Computer Information Systems,0,0,1,1,1,DWFI
13503,Brooklyn,31.15589081410133,2.4415417498920555,12,Computer Science,1,0,1,0,0,DWFI
16593,Queens,26.380404801610563,4.739702536506912,1,Computer Information Systems,1,0,1,0,0,P
10033,Outside NYC,23.802616452384004,3.764605968431603,17,Computer Information Systems,1,0,0,1,1,DWFI
6783,Brooklyn,20.287881393167503,2.716346308109157,5,Computer Science,1,1,0,0,0,P
1229,Outside NYC,24.702506637769496,3.0203214882633813,8,Computer Science,1,1,0,0,1,P
2898,Outside NYC,18.379888751226748,3.2769533855259807,5,Computer Science,0,0,1,0,0,P
5306,Bronx,22.35101312250949,1.979994643229937,21,Computer Information Systems,0,0,1,1,0,DWFI
11571,Bronx,14.701567629168396,3.468869191767353,3,Computer Information Systems,1,1,0,1,1,P
15321,Brooklyn,18.499239099460947,2.607818744585444,13,Computer Information Systems,0,1,0,1,0,DWFI
13474,Manhattan,25.742545151837128,3.145851322467785,26,Computer Science,1,1,1,1,1,DWFI
10915,Outside NYC,27.28570269899461,3.1166719588513327,5,Computer Information Systems,0,1,1,0,1,P
3564,Outside NYC,18.13710176301776,2.8159594209451475,5,Computer Information Systems,1,0,1,0,0,P
10888,Outside NYC,22.714835411785938,3.6408015187752016,4,Computer Information Systems,1,0,0,0,0,P
499,Bronx,24.16667573197933,3.2313177186617823,3,Computer Information Systems,1,1,0,1,0,P
121,Manhattan,22.032197865041507,3.020115304959341,5,Computer Information Systems,1,0,0,0,1,P
16177,Brooklyn,22.378204147479675,3.0413247522269065,20,Computer Information Systems,1,1,1,1,1,DWFI
10028,Brooklyn,32.34737926867558,3.203134113176056,3,Computer Information Systems,1,0,1,1,0,P
2430,Outside NYC,21.629458528971227,4.225481754046219,3,Computer Information Systems,1,0,1,1,1,P
8612,Staten Island,17.097560898300667,2.561583417848181,11,Computer Information Systems,1,1,1,1,1,DWFI
